# blade,v2_Ra20
# notes,"PETG, 0.2mm, Ra 20"
# fan_rpm,500
# wind_mps,10.24
# instrument,"Chroma,63004-150-60,630041501113,2.01"
# protocol,94bed28333f7
# protocol_detail,scaling=v2;step=0.02000;frac=0.0000;dwell=1.00;voff=0.500;range=low;floor=0.00000;operate=80.0;collapse=0.700;confirm=2
fan_rpm,wind_mps,blade,demand_a,held_a,volts,amps,watts,tracking,note,fan_rpm_actual,motor_amps
1300,27.29,v2_Ra20,0.0310,0.0310,13.2364,0.0310,0.4103,1,,1286,9.80
1300,27.29,v2_Ra20,0.0414,0.0414,12.8006,0.0414,0.5299,1,,1286,9.80
1300,27.29,v2_Ra20,0.0517,0.0517,12.3991,0.0517,0.6410,1,,1286,9.80
1300,27.29,v2_Ra20,0.0621,0.0621,11.9367,0.0621,0.7413,1,,1286,9.80
1300,27.29,v2_Ra20,0.0724,0.0724,11.3659,0.0724,0.8229,1,,1286,9.80
1300,27.29,v2_Ra20,0.0827,0.0827,11.0490,0.0827,0.9138,1,,1286,9.80
1300,27.29,v2_Ra20,0.0931,0.0931,10.6139,0.0931,0.9882,1,,1286,9.80
1300,27.29,v2_Ra20,0.1034,0.1034,10.0846,0.1034,1.0427,1,,1286,9.80
1300,27.29,v2_Ra20,0.1138,0.1138,9.8842,0.1138,1.1248,1,,1286,9.80
1300,27.29,v2_Ra20,0.1241,0.1241,9.2177,0.1241,1.1439,1,,1286,9.80
1300,27.29,v2_Ra20,0.1345,0.1345,8.8605,0.1345,1.1917,1,,1286,9.80
1300,27.29,v2_Ra20,0.1448,0.1448,8.3924,0.1448,1.2152,1,,1286,9.80
1300,27.29,v2_Ra20,0.1551,0.1551,7.9316,0.1551,1.2302,1,,1286,9.80
1300,27.29,v2_Ra20,0.1655,0.1655,7.8603,0.1655,1.3009,1,,1286,9.80
1300,27.29,v2_Ra20,0.1758,0.1758,7.3945,0.1758,1.3000,1,,1286,9.80
1300,27.29,v2_Ra20,0.1862,0.1862,7.1353,0.1862,1.3286,1,,1286,9.80
1300,27.29,v2_Ra20,0.1965,0.1965,6.6582,0.1965,1.3083,1,,1286,9.80
1300,27.29,v2_Ra20,0.2069,0.2069,6.1098,0.2069,1.2641,1,,1286,9.80
1300,27.29,v2_Ra20,0.2172,0.2172,5.7158,0.2172,1.2415,1,,1286,9.80
1300,27.29,v2_Ra20,0.2275,0.2275,5.2286,0.2275,1.1895,1,,1286,9.80
1300,27.29,v2_Ra20,0.2379,0.2379,4.7624,0.2379,1.1330,1,,1286,9.80
1300,27.29,v2_Ra20,0.2482,0.2482,4.3031,0.2482,1.0680,1,,1286,9.80
1300,27.29,v2_Ra20,0.2586,0.2586,3.6442,0.2586,0.9424,1,,1286,9.80
